My帳票アドバンス,,,2026年5月18日(Mon) 17:01
レイアウト [ 0004：claude取り込み用 ]
実績期間 [ 2026年04月01日 ～ 2026年04月30日 ]
複数タグカウント [ する ]
日付基準 [ 預り日 ]

"","0001：本店","","","","","","","","","","","0002：東川口店","","","","","","","","","","","0003：新田店","","","","","","","","","","","0004：西友蒲生伊原店","","","","","","","","","","","0006：草加西口店","","","","","","","","","","","0008：蒲生店","","","","","","","","","","","0009：東川口2号店","","","","","","","","","","","0101：モールプラザ草加","","","","","","","","","","",""
"","売上額","昨年実績","ドライ点数","ワイシャツ点数","ロット外・外注点数","レギュラーコース","スタンダードコース","プレミアムコース","デリケートコース","ブランドコース","１点単価","売上額","昨年実績","ドライ点数","ワイシャツ点数","ロット外・外注点数","レギュラーコース","スタンダードコース","プレミアムコース","デリケートコース","ブランドコース","１点単価","売上額","昨年実績","ドライ点数","ワイシャツ点数","ロット外・外注点数","レギュラーコース","スタンダードコース","プレミアムコース","デリケートコース","ブランドコース","１点単価","売上額","昨年実績","ドライ点数","ワイシャツ点数","ロット外・外注点数","レギュラーコース","スタンダードコース","プレミアムコース","デリケートコース","ブランドコース","１点単価","売上額","昨年実績","ドライ点数","ワイシャツ点数","ロット外・外注点数","レギュラーコース","スタンダードコース","プレミアムコース","デリケートコース","ブランドコース","１点単価","売上額","昨年実績","ドライ点数","ワイシャツ点数","ロット外・外注点数","レギュラーコース","スタンダードコース","プレミアムコース","デリケートコース","ブランドコース","１点単価","売上額","昨年実績","ドライ点数","ワイシャツ点数","ロット外・外注点数","レギュラーコース","スタンダードコース","プレミアムコース","デリケートコース","ブランドコース","１点単価","売上額","昨年実績","ドライ点数","ワイシャツ点数","ロット外・外注点数","レギュラーコース","スタンダードコース","プレミアムコース","デリケートコース","ブランドコース","１点単価",""
"2026年04月01日（水）","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"2026年04月02日（木）","82,024","0","73","43","17","121","0","0","3","0","621","26,605","0","21","4","5","25","0","0","3","0","887","19,954","0","26","10","0","36","0","0","0","0","554","72,883","0","31","12","21","53","11","0","0","0","1,139","67,684","0","71","43","16","108","0","0","10","2","525","31,178","0","69","20","14","85","0","0","2","0","303","50,575","0","35","9","14","34","0","0","5","0","872","33,309","0","34","17","9","43","17","0","0","0","565",""
"2026年04月03日（金）","206,396","46,130","197","49","24","224","0","0","14","0","764","79,015","55,426","88","44","5","119","0","0","10","0","577","96,130","11,547","69","17","21","97","0","0","6","0","898","106,602","29,726","86","17","14","84","33","0","0","0","911","168,822","44,115","165","33","10","140","0","0","21","7","812","72,619","28,260","42","29","15","80","0","0","2","0","854","109,999","45,151","90","17","14","61","0","0","17","0","909","90,503","109,828","95","9","9","80","36","0","0","0","801",""
"2026年04月04日（土）","279,032","172,429","268","171","30","419","0","0","19","1","595","136,293","55,540","101","65","11","150","0","0","8","2","770","123,407","82,395","119","80","7","176","0","0","12","0","599","142,330","64,094","121","31","32","135","46","3","0","0","774","203,813","133,503","177","186","17","340","0","0","16","0","536","126,580","41,339","113","104","20","211","0","0","8","0","534","102,819","178,181","89","78","12","131","0","0","16","1","574","100,338","92,758","64","53","11","101","22","1","0","0","784",""
"2026年04月05日（日）","404,017","303,327","324","105","60","412","0","0","25","1","828","75,461","103,248","68","48","10","106","0","0","6","4","599","91,934","148,046","82","40","17","108","0","0","11","0","661","135,456","87,996","136","35","17","146","42","0","0","0","724","231,809","248,642","146","67","27","200","0","0","15","0","982","87,638","108,492","79","63","26","144","0","0","7","0","525","129,696","232,956","68","53","15","80","0","0","15","5","983","165,697","144,242","89","36","22","101","42","4","0","0","1,143",""
"2026年04月06日（月）","116,699","375,322","66","22","18","74","0","0","6","10","1,101","35,804","85,778","30","27","3","49","0","0","5","2","597","59,298","125,979","32","25","7","54","0","0","4","0","927","98,637","58,758","68","7","13","53","35","0","0","0","1,121","70,683","235,016","65","11","13","71","0","0","7","1","794","35,289","112,900","27","25","12","56","0","0","2","0","551","53,353","199,942","44","15","9","50","0","0","6","0","785","82,681","85,963","71","18","19","76","32","0","0","0","766",""
"2026年04月07日（火）","0","64,314","0","0","0","0","0","0","0","0","0","0","25,500","0","0","0","0","0","0","0","0","0","0","18,600","0","0","0","0","0","0","0","0","0","0","35,021","0","0","0","0","0","0","0","0","0","0","76,299","0","0","0","0","0","0","0","0","0","0","75,616","0","0","0","0","0","0","0","0","0","0","18,143","0","0","0","0","0","0","0","0","0","0","15,178","0","0","0","0","0","0","0","0","0",""
"2026年04月08日（水）","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"2026年04月09日（木）","125,863","0","84","40","21","125","0","0","12","0","874","82,131","0","48","34","8","70","0","0","8","0","923","40,792","0","23","9","6","33","0","0","4","0","1,073","72,596","0","63","16","20","59","40","0","0","0","741","73,920","0","81","18","21","95","0","0","10","0","616","58,433","0","43","22","14","68","0","0","6","1","740","85,363","0","40","27","17","58","0","0","9","1","1,054","33,338","0","10","17","4","26","3","0","0","0","1,111",""
"2026年04月10日（金）","56,982","136,414","61","23","12","71","0","0","8","2","594","36,388","82,824","41","38","11","80","0","0","3","0","404","28,965","37,145","35","9","0","33","0","0","3","0","658","46,478","59,405","34","13","6","33","20","0","0","0","877","295,380","76,026","192","54","45","243","0","0","12","0","1,022","44,114","92,876","37","25","6","54","0","0","4","0","658","22,984","70,060","24","5","2","14","0","0","5","0","741","122,568","26,927","120","16","10","85","58","2","0","0","840",""
"2026年04月11日（土）","185,296","50,259","140","163","19","275","0","0","21","0","577","130,624","35,061","92","80","12","141","0","0","14","0","722","86,109","28,960","73","65","7","137","0","0","5","0","594","169,117","39,762","149","24","24","137","58","2","0","0","858","553,339","168,122","443","182","63","551","0","0","49","2","805","152,651","48,970","122","112","40","241","0","0","5","0","559","106,638","119,757","85","67","18","119","0","0","16","0","627","419,353","101,025","298","78","54","296","134","0","0","0","978",""
"2026年04月12日（日）","181,195","357,238","137","64","11","165","0","0","17","5","855","110,494","154,793","56","27","12","72","0","0","10","1","1,163","60,791","92,544","44","33","3","60","0","0","7","0","760","157,510","53,866","139","13","32","120","61","3","0","0","861","420,583","429,114","320","115","52","356","0","0","42","5","864","128,267","138,070","68","39","20","93","0","0","13","0","1,010","104,774","216,551","83","45","24","104","0","0","14","0","694","274,670","284,486","207","43","35","194","91","0","0","0","964",""
"2026年04月13日（月）","79,798","100,837","55","18","11","66","0","0","9","4","950","59,307","51,809","31","19","7","47","0","0","5","0","1,040","41,522","21,519","39","32","1","64","0","0","3","0","577","172,885","84,225","140","43","22","130","73","2","0","0","843","123,373","398,938","92","23","9","90","0","0","11","5","995","75,837","34,928","74","28","8","87","0","0","7","1","689","79,016","76,678","49","12","12","54","0","0","9","0","1,082","53,527","115,613","51","4","2","30","27","0","0","0","939",""
"2026年04月14日（火）","0","84,863","0","0","0","0","0","0","0","0","0","0","46,012","0","0","0","0","0","0","0","0","0","0","36,645","0","0","0","0","0","0","0","0","0","0","45,650","0","0","0","0","0","0","0","0","0","0","87,345","0","0","0","0","0","0","0","0","0","0","49,247","0","0","0","0","0","0","0","0","0","0","72,104","0","0","0","0","0","0","0","0","0","0","39,078","0","0","0","0","0","0","0","0","0",""
"2026年04月15日（水）","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"2026年04月16日（木）","101,139","0","57","28","13","87","0","0","4","1","1,054","33,783","0","25","17","1","28","0","0","7","0","786","59,939","0","39","8","4","23","0","0","5","0","1,175","180,086","0","107","19","41","106","60","0","0","0","1,085","142,830","0","107","51","48","147","0","0","11","6","700","28,344","0","22","12","7","34","0","0","2","0","691","45,687","0","19","6","14","32","0","0","4","0","1,171","70,337","0","62","28","8","73","23","1","0","0","718",""
"2026年04月17日（金）","149,599","100,207","99","35","21","127","0","0","12","1","971","263,475","46,452","209","42","23","192","0","0","29","15","962","47,591","38,568","32","15","5","45","0","0","4","0","915","117,568","65,722","90","17","8","59","55","1","0","0","1,022","177,546","91,485","110","32","20","129","0","0","17","2","1,096","61,021","72,976","40","57","10","98","0","0","2","0","570","137,158","164,173","101","12","25","76","0","0","17","3","994","57,148","60,914","33","12","12","46","11","0","0","0","1,003",""
"2026年04月18日（土）","186,354","85,491","130","179","17","300","0","0","10","0","573","452,166","306,662","391","92","53","431","0","0","37","2","845","66,024","20,411","38","57","6","96","0","0","3","0","654","188,323","68,435","140","25","38","127","74","2","0","0","928","209,153","115,064","170","164","27","324","0","0","16","10","579","124,210","88,084","113","104","20","213","0","0","6","0","524","281,411","145,118","210","95","61","274","0","0","30","3","773","119,707","115,163","69","56","14","110","28","0","0","0","861",""
"2026年04月19日（日）","137,044","274,858","94","74","20","162","0","0","11","1","741","358,603","346,515","337","51","55","321","0","0","33","1","811","93,183","78,355","56","41","7","90","0","0","5","1","896","217,396","49,403","168","31","24","145","76","2","0","0","975","301,903","225,340","203","91","34","243","0","0","26","4","923","92,061","180,830","54","42","18","101","0","0","7","0","808","377,589","269,340","257","42","44","174","0","0","47","12","1,101","77,287","137,481","44","26","13","61","20","2","0","0","931",""
"2026年04月20日（月）","65,558","136,754","62","27","4","67","0","0","12","0","705","34,474","350,874","52","7","4","32","0","0","6","0","547","59,999","75,696","33","35","4","71","0","0","1","0","833","180,212","119,321","138","36","12","103","83","0","0","0","969","83,315","251,704","56","38","10","80","0","0","8","1","801","30,246","93,520","33","13","8","47","0","0","3","1","560","46,457","359,936","47","5","11","30","0","0","8","6","737","80,130","192,300","44","3","10","31","26","0","0","0","1,406",""
"2026年04月21日（火）","0","80,755","0","0","0","0","0","0","0","0","0","0","68,673","0","0","0","0","0","0","0","0","0","0","39,533","0","0","0","0","0","0","0","0","0","0","49,501","0","0","0","0","0","0","0","0","0","0","100,665","0","0","0","0","0","0","0","0","0","0","71,890","0","0","0","0","0","0","0","0","0","0","81,157","0","0","0","0","0","0","0","0","0","0","80,638","0","0","0","0","0","0","0","0","0",""
"2026年04月22日（水）","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"2026年04月23日（木）","58,293","0","50","44","5","74","0","0","12","0","589","19,031","0","8","22","3","31","0","0","2","0","595","29,359","0","29","10","1","31","0","0","4","0","734","45,379","0","30","15","4","29","20","0","0","0","945","49,649","0","41","33","4","72","0","0","4","0","637","15,952","0","14","41","3","53","0","0","2","0","275","32,385","0","28","24","3","32","0","0","4","0","589","57,250","0","48","27","9","64","19","0","0","0","690",""
"2026年04月24日（金）","71,174","92,421","57","39","13","92","0","0","6","0","665","61,422","42,514","34","34","2","56","0","0","6","0","877","28,363","21,146","22","10","0","27","0","0","2","0","886","39,901","80,299","36","18","4","35","22","0","0","0","688","47,740","72,790","33","29","10","57","0","0","5","1","672","137,209","37,966","122","43","22","150","0","0","10","2","734","50,159","42,493","27","13","27","48","0","0","7","2","749","86,518","52,738","48","28","8","67","17","0","0","0","1,030",""
"2026年04月25日（土）","212,956","76,025","161","181","11","311","0","0","18","1","605","105,349","60,776","91","69","3","132","0","0","7","3","650","36,604","28,991","39","49","0","81","0","0","3","0","416","142,445","50,898","123","36","6","110","53","2","0","0","863","215,252","67,531","157","176","31","324","0","0","9","1","595","390,602","126,950","196","146","48","335","0","0","19","1","1,002","96,707","72,794","65","66","15","117","0","0","10","1","662","175,379","51,341","102","49","13","106","57","0","0","0","1,069",""
"2026年04月26日（日）","108,409","202,159","82","52","16","128","0","0","10","0","732","89,717","88,054","47","32","12","77","0","0","4","0","986","83,216","104,828","55","50","6","86","0","0","9","0","750","115,481","278,583","74","16","13","53","49","1","0","0","1,132","205,138","201,006","135","78","22","176","0","0","19","4","873","326,123","270,786","228","57","53","285","0","0","20","0","968","94,212","132,780","64","37","16","87","0","0","11","0","812","80,141","138,430","63","30","9","69","31","2","0","0","786",""
"2026年04月27日（月）","85,897","168,586","33","18","18","60","0","0","5","0","1,245","24,902","76,371","24","1","2","20","0","0","2","0","922","35,645","79,003","21","15","2","31","0","0","2","0","963","133,086","329,283","112","38","10","83","77","0","0","0","832","97,039","252,645","39","19","17","57","0","0","6","3","1,294","21,293","308,631","16","8","13","33","0","0","2","0","575","67,985","265,783","13","10","19","34","0","0","4","2","1,619","73,334","164,946","47","17","6","28","42","0","0","0","1,048",""
"2026年04月28日（火）","0","168,017","0","0","0","0","0","0","0","0","0","0","79,556","0","0","0","0","0","0","0","0","0","0","101,476","0","0","0","0","0","0","0","0","0","0","167,539","0","0","0","0","0","0","0","0","0","0","133,780","0","0","0","0","0","0","0","0","0","0","49,848","0","0","0","0","0","0","0","0","0","0","123,018","0","0","0","0","0","0","0","0","0","0","51,259","0","0","0","0","0","0","0","0","0",""
"2026年04月29日（水）","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"2026年04月30日（木）","105,380","0","111","27","8","108","0","0","13","0","722","29,584","0","26","34","3","55","0","0","4","0","470","46,378","0","39","27","6","66","0","0","2","0","644","36,618","0","18","10","5","25","8","0","0","0","1,110","136,171","0","124","66","22","192","0","0","9","0","642","59,200","0","61","11","14","62","0","0","7","0","696","161,049","0","65","29","31","76","0","0","14","4","1,288","49,435","0","30","17","6","32","19","0","0","0","933",""
